gene,score,fold_change,mean,frac_exp,mean_rest,frac_exp_rest
Btg1,0.612,1.70,0.25,0.45,0.15,0.38
Mrps25,0.612,6.66,0.04,0.10,0.01,0.04
Psmd2,0.612,2.07,0.11,0.21,0.05,0.13
Psme3,0.612,3.78,0.05,0.12,0.01,0.03
Naa10,0.612,2.06,0.03,0.12,0.02,0.05
Psmd11,0.612,2.13,0.10,0.19,0.05,0.16
Cox7a2,0.612,1.58,0.12,0.24,0.08,0.22
Fbxw8,0.611,1.32,0.05,0.16,0.03,0.05
Cldn7,0.611,1.82,0.22,0.31,0.12,0.27
Hnrnpab,0.611,1.65,0.23,0.35,0.14,0.26
1110008P14Rik,0.611,1.77,0.04,0.15,0.03,0.08
Las1l,0.611,2.31,0.08,0.15,0.03,0.08
Tagln2,0.611,1.52,0.39,0.50,0.25,0.40
Lbh,0.611,1.97,0.13,0.17,0.07,0.11
Pak1ip1,0.611,1.94,0.05,0.16,0.02,0.12
Itga2,0.611,2.08,0.10,0.17,0.05,0.11
Azi2,0.611,2.75,0.08,0.16,0.03,0.12
Med19,0.611,3.14,0.04,0.12,0.01,0.07
C1d,0.611,1.76,0.04,0.12,0.02,0.07
Ascc3,0.611,1.90,0.10,0.21,0.05,0.15
H2afy,0.611,1.21,0.12,0.28,0.10,0.19
Sh3glb1,0.611,1.66,0.19,0.35,0.11,0.28
Psip1,0.610,2.60,0.08,0.17,0.03,0.12
Snrpe,0.610,1.46,0.14,0.28,0.09,0.22
Cystm1,0.610,1.66,0.20,0.31,0.12,0.35
Aggf1,0.610,2.23,0.06,0.16,0.03,0.15
Dctn4,0.610,1.87,0.06,0.17,0.03,0.14
Nfe2l1,0.610,1.63,0.08,0.23,0.05,0.18
Ralbp1,0.610,1.99,0.11,0.23,0.05,0.20
Ube2i,0.609,1.84,0.11,0.27,0.06,0.19
Xbp1,0.609,1.71,0.28,0.33,0.16,0.33
Gng5,0.609,1.61,0.33,0.48,0.20,0.32
Acadm,0.609,1.04,0.04,0.16,0.04,0.08
Tob1,0.609,2.16,0.11,0.19,0.05,0.15
S100a1,0.609,1.71,0.07,0.19,0.04,0.12
Prkar1a,0.609,1.66,0.13,0.29,0.08,0.20
Pim1,0.609,16.86,0.04,0.09,0.00,0.02
Rnpepl1,0.609,4.52,0.06,0.13,0.01,0.04
Psmb1,0.609,1.71,0.11,0.24,0.07,0.18
Twf1,0.608,1.77,0.06,0.16,0.03,0.11
Cgn,0.608,2.07,0.13,0.27,0.06,0.20
Cnpy2,0.608,1.64,0.08,0.21,0.05,0.15
Smg5,0.608,5.14,0.04,0.10,0.01,0.05
Ankrd54,0.608,3.00,0.02,0.10,0.01,0.05
Ptp4a3,0.608,2.48,0.04,0.12,0.02,0.07
Eif2ak2,0.608,4.53,0.05,0.13,0.01,0.06
Dync1h1,0.608,1.76,0.15,0.31,0.09,0.21
Rela,0.608,2.17,0.12,0.24,0.06,0.17
Sod2,0.607,1.85,0.07,0.16,0.04,0.12
Dsp,0.607,2.08,0.18,0.34,0.09,0.32
Ptdss1,0.607,1.46,0.03,0.14,0.02,0.08
Nr4a1,0.607,7.89,0.07,0.10,0.01,0.03
Prxl2a,0.607,2.73,0.09,0.15,0.03,0.13
Thrb,0.607,2.74,0.08,0.13,0.03,0.11
Qsox1,0.606,2.32,0.26,0.33,0.11,0.27
Pex7,0.606,3.35,0.05,0.12,0.02,0.09
Svil,0.606,1.61,0.23,0.36,0.14,0.29
Rpl36a,0.606,1.63,0.40,0.48,0.24,0.40
Mcfd2,0.605,2.93,0.05,0.12,0.02,0.05
Fbh1,0.605,4.59,0.04,0.10,0.01,0.06
Nrd1,0.605,1.90,0.11,0.26,0.06,0.22
Ldlrad4,0.605,2.33,0.14,0.19,0.06,0.14
